"rank","restaurant_name","emailaddress","zipcode","website","cuisine1","cuisine2","cuisine3","cuisine","phone_number","address","yellowpages_rating","yellowpages_review_count","tripadvisor_rating","tripadvisor_review_count"
"61. ","Lila Yoga Wellness & Womans","","10012","http://www.lilawellness.com","Yoga Instruction","","","Yoga Instruction","(212) 254-2130","302 Bowery Apt 2,New York,NY","3.5","3","",""
"62. ","Ludlow Fitness","info@ludlowfitness.com","10002","http://www.ludlowfitness.com","Health Clubs","Exercise & Physical Fitness Programs","Gymnasiums","Health Clubs,Exercise & Physical Fitness Programs,Gymnasiums,Personal Fitness Trainers,Physical Fitness Consultants & Trainers,Yoga Instruction","(212) 260-9222","100 Delancey St,New York,NY","3.5","3","",""
"63. ","Jivamukti Yoga School","info@jivamuktiyoga.com","10003","http://www.jivamuktiyoga.com","Yoga Instruction","Exercise & Physical Fitness Programs","Physical Fitness Consultants & Trainers","Yoga Instruction,Exercise & Physical Fitness Programs,Physical Fitness Consultants & Trainers,Sports Instruction","(212) 353-0214","841 Broadway,New York,NY","3.5","19","",""
"64. ","Bikram Yoga NYC","info@bikramyoganyc.com","10010","http://www.bikramyoganyc.com","Yoga Instruction","Physical Fitness Consultants & Trainers","","Yoga Instruction,Physical Fitness Consultants & Trainers","(212) 206-9400","182 5th Ave,New York,NY","3.5","9","",""
"65. ","Virayoga","staff@virayoga.com","10012","http://virayoga.com","Yoga Instruction","","","Yoga Instruction","(212) 334-9960","580 Broadway Rm 200,New York,NY","3.5","4","",""
"66. ","Bikram Yoga Park Slope","info@bikrambayridge.com","11225","http://bikramyoga.com","Yoga Instruction","","","Yoga Instruction","(718) 399-3369","507 Flatbush Ave,Brooklyn,NY","3","10","",""
"67. ","Inwood Peace Yoga Ctr","","10034","","Yoga Instruction","","","Yoga Instruction","(212) 304-9642","630 Isham St,New York,NY","3","2","",""
"68. ","Slope Fitness","bank207@aol.com","11215","http://www.slopefit.com","Health Clubs","Gymnasiums","Personal Fitness Trainers","Health Clubs,Gymnasiums,Personal Fitness Trainers,Physical Fitness Consultants & Trainers,Yoga Instruction","(718) 783-4343","808 Union St Ste 2,Brooklyn,NY","3","37","",""
"69. ","Equinox","","10065","","Health Clubs","Gymnasiums","Nutritionists","Health Clubs,Gymnasiums,Nutritionists,Personal Fitness Trainers,Physical Fitness Consultants & Trainers,Pilates Instruction & Equipment,Weight Control Services,Yoga Instruction","(212) 355-5100","330 E 61st St,New York,NY","2.5","15","",""
"70. ","Pure Yoga","MaryLee.Shorr@pureyoga.com","10028","http://www.pureyoga.com","Yoga Instruction","Gymnasiums","Health Clubs","Yoga Instruction,Gymnasiums,Health Clubs","(212) 360-1888","203 E 86th St,New York,NY","2.5","18","",""
"71. ","Bikram Yoga Downtown","hello@yogacare.com","10038","http://bikramyoga.com","Yoga Instruction","","","Yoga Instruction","(212) 964-6411","121 Fulton St,New York,NY","2","5","",""
"72. ","Forum Fitness Club","tcox@forumfitnessclub.com","07002","http://forumfitnessclub.com","Health Clubs","Exercise & Physical Fitness Programs","Gymnasiums","Health Clubs,Exercise & Physical Fitness Programs,Gymnasiums,Health & Fitness Program Consultants,Personal Fitness Trainers,Physical Fitness Consultants & Trainers,Weight Control Services,Yoga Instruction","(201) 339-0050","21 W 25th St,Bayonne,NJ","1","2","",""
"73. ","N Y Open Center Inc","","10012","http://www.opencenter.org","Yoga Instruction","Massage Therapists","","Yoga Instruction,Massage Therapists","(212) 219-2527","83 Spring St,New York,NY","1","1","",""
"74. ","Kula Yoga Project","","10007","http://www.kulayoga.com","Yoga Instruction","","","Yoga Instruction","(212) 945-4460","28 Warren St,New York,NY","","","",""
"75. ","Yoga Spark","","10013","https://yoga-spark.com","Yoga Instruction","","","Yoga Instruction","(212) 602-9961","158 Duane St,New York,NY","","","",""
