"iYogaClass.com",(646) 915-0369,"",New York, NY 10025
"Naam Yoga New York",(646) 922-7482,"141 W 72nd St Apt 1",New York, NY 10023
"Rinaldi Pilates",(212) 228-5532,"327 E 12th St",New York, NY 10003
"Atmananda Yoga Sequence NYC HQ",(212) 625-1511,"112 E 23rd St Suite 200",New York, NY 10010
"Sonic Yoga",(212) 397-6344,"944 8th Ave",New York, NY 10019
"Centerpoint Studios",(212) 625-1511,"67 Irving Pl",New York, NY 10003
"Sivananda Yoga Vedanta Center",(212) 255-4560,"243 W 24th St",New York, NY 10011
"Centered",(212) 633-1233,"114 W 14th St",New York, NY 10011
"Yoga to the People",(917) 573-9642,"12 Saint Marks Pl",New York, NY 10003
"Circuit of Change",(212) 255-0053,"57 W 16th St",New York, NY 10011
"Karma Kids Yoga",(646) 638-1444,"104 W 14th St",New York, NY 10011
"Yoga Yoga Nyc",(212) 727-0216,"102 W 14th St",New York, NY 10011
"Yamuna Body Rolling",(212) 367-9570,"416 W 13th St",New York, NY 10014
"Body & Brain Yoga Tai chi",(212) 691-7799,"830 6th Ave 3rd floor (29th St)",New York, NY 10001
"Yoga High",(212) 792-5776,"19 Clinton St",New York, NY 10002
"Yoganesh Yoga",(646) 326-7471,"232 7th Ave",New York, NY 10011
"Lila Yoga Wellness & Womans",(212) 254-2130,"302 Bowery Apt 2",New York, NY 10012
"Dharma Yoga East",(212) 889-8160,"297 3rd Ave",New York, NY 10010
"Inwood Peace Yoga Ctr",(212) 304-9642,"630 Isham St",New York, NY 10034
"N Y Open Center Inc",(212) 219-2527,"83 Spring St",New York, NY 10012
"CorePower Yoga",(929) 207-0038,"25 Hudson St",New York, NY 10013
"DeRose Method Greenwich Village",(917) 727-0233,"523 Avenue Of The Americas",New York, NY 10011
"Dharma Yoga Center",(212) 889-8160,"46 W 24th St Lobby Floor",New York, NY 10010
"Charlie the Yogi",(908) 419-8705,"134 W 29th St",New York, NY 10001
"Antigravity Inc",(212) 279-0790,"265 W 37th St",New York, NY 10018
"Heather Lyle",(646) 378-8276,"370 W 52nd St",New York, NY 10019
"Bode",(212) 724-7303,"143 W 72nd St",New York, NY 10023
"Tiger Strong NYC",(917) 453-6503,"500 E 77th St",New York, NY 10162
"Integral Yoga",(212) 721-4000,"371 Amsterdam Ave Frnt 1",New York, NY 10024
"East Harlem Yoga",(646) 632-2240,"2157 1st Avenue, 3rd Floor",New York, NY 10029
"Yoga Spark",(212) 602-9961,"158 Duane St",New York, NY 10013
"Lyons Den Power Yoga",(646) 490-8888,"279 Church St",New York, NY 10013
"Bikram Yoga",(646) 964-4957,"404 Broadway",New York, NY 10013
"Yoga In Tribeca",(212) 966-4554,"38 Walker St",New York, NY 10013
"Yoga Smoga, Inc.",(888) 990-9642,"15 Broad St Apt 2304",New York, NY 10005
"Yoga Vida",(212) 343-7001,"416 Washington St",New York, NY 10013
"Shri Yoga",(212) 343-9642,"443 Greenwich St",New York, NY 10013
"Wow Yoga Pants",(347) 854-6959,"99 Wall St",New York, NY 10005
"Strala Yoga",(917) 488-7195,"632 Broadway",New York, NY 10012
"Bananahandles Inc",(646) 299-2971,"172 Allen St Frnt 2",New York, NY 10002
"Katonah Yoga Bowery",(917) 885-0278,"302 Bowery",New York, NY 10012
"Shiva Shanti Yoga School",(201) 531-9642,"12 Avenue A",New York, NY 10009
"Little Flower Yoga Studio",(917) 385-2005,"711 Broadway Ste 218",New York, NY 10003
"Bonada",(646) 692-9398,"110 1st Ave",New York, NY 10009
"Gesundheit",(212) 228-0649,"12 Saint Marks Pl",New York, NY 10003
"Sky Blue Yoga",(212) 989-9874,"95 Christopher St",New York, NY 10014
"Laughing Lotus Yoga Center",(212) 414-2903,"55 Christopher St",New York, NY 10014
"The Yoga Therapist",(914) 575-9763,"140 Charles St",New York, NY 10014
"Buddha Body Yoga Tm",(212) 473-0166,"80 E 11th St",New York, NY 10003
"Modo Yoga NYC",(212) 780-9642,"434 Avenue Of The Americas Fl 2",New York, NY 10011
"The Shala",(212) 979-9988,"815 Broadway",New York, NY 10003
"Flow & Grow Kids Yoga",(774) 353-6591,"1 Irving Pl",New York, NY 10003
"Savasana Station",(917) 289-2393,"212 Avenue B",New York, NY 10009
"Orly Yoga",(917) 371-9902,"29 W 15th St",New York, NY 10011
"Practice Yoga",(212) 255-7588,"240 W 14th St",New York, NY 10011
"Pilates On The Square",(646) 850-0378,"857 Broadway, 2nd Floor",New York, NY 10003
"Chandogya",(212) 414-2903,"59 W 19th St",New York, NY 10011
"Koppele Method",(201) 960-3074,"37 W 20th St Ste 806",New York, NY 10011
"Alo Yoga",(212) 727-1806,"164 5th Ave",New York, NY 10010
"Modo Yoga NYC",(212) 780-9642,"434 Avenue Of The Americas Fl 2",New York, NY 10011
"The Shala",(212) 979-9988,"815 Broadway",New York, NY 10003
"Flow & Grow Kids Yoga",(774) 353-6591,"1 Irving Pl",New York, NY 10003
"Savasana Station",(917) 289-2393,"212 Avenue B",New York, NY 10009
"Orly Yoga",(917) 371-9902,"29 W 15th St",New York, NY 10011
"Practice Yoga",(212) 255-7588,"240 W 14th St",New York, NY 10011
"Pilates On The Square",(646) 850-0378,"857 Broadway, 2nd Floor",New York, NY 10003
"Chandogya",(212) 414-2903,"59 W 19th St",New York, NY 10011
"Koppele Method",(201) 960-3074,"37 W 20th St Ste 806",New York, NY 10011
"Alo Yoga",(212) 727-1806,"164 5th Ave",New York, NY 10010
"Balance Integration",(212) 255-4008,"212 W 22nd St Apt 2b",New York, NY 10011
"Reflection Yoga",(212) 974-2288,"227 E 24th St",New York, NY 10010
"Samamkaya Yoga Back Care",(646) 964-5772,"119 W 23rd St",New York, NY 10011
"Buddha Body Yoga TM",(212) 473-0166,"1133 Broadway",New York, NY 10010
"Breathing Project",(212) 979-9642,"15 W 26th St",New York, NY 10010
"Allow Yoga Therapy",(347) 709-9642,"37 W 26th St",New York, NY 10010
"Yoga Union Center for Backcare and Scoliosis",(212) 532-1512,"32 W 28th St",New York, NY 10001
"Yoga Union",(212) 510-7404,"37 W 28th St",New York, NY 10001
"Yoga La Vie",(347) 753-1389,"135 W 29th St",New York, NY 10001
"Simona Yoga",(323) 401-2411,"140 W 30th St",New York, NY 10001
"Bikram Yoga",(917) 940-8935,"139 E 35th St",New York, NY 10016
"Bikram Yoga",(917) 940-8935,"139 W 35th St",New York, NY 10001
"Power Yoga Guru",(917) 916-8355,"48 Park Ave",New York, NY 10016
"Balance Yoga",(212) 725-6557,"200 E 37th St",New York, NY 10016
