"Name","description","packSize","code","manufacturer","price"
"Askeys 21 Classic Cones with Sweetener","A golden yellow / brown coloured cup shaped wafer biscuit with a crisp friable texture and slightly sweet and lightly toasted background flavour.  The product is GMO-free and does not originate from or contain ingredients from genetic modification.  Conforms to all relevant statutory requirements (UK & EU Regulations).","1 x 21","89856","Askeys","2.19"
"Tate & Lyle Black Treacle 750g","","1 x 750g","128762","Tate & Lyle","2.19"
"Lyle's Golden Syrup Squeezy 750g","A golden colour invert formed of a combination of sucrose, glucose and fructose found naturally in sugar cane. Morecommonly known as Lyle's Golden Syrup Easiflow f ormula, it has rich caramel and honey-like flavour. Golden Cane Invert Syrup 47 - 79 reduces water activity, lowers freezing point, increases humectancy and adds texture, colour and flavour to tarts, puddings, sauces, cereal bars.","1 x 750g","128761","Lyle's","2.19"
"Kerrymaid Angelito Vanilla Flavour Ice Cream Mix 1 Litre","Ice cream mix","1 x 1ltr","2219","Kerrymaid","2.29"
"Brakes Baked Beans in Tomato Sauce","Created specifically for foodservice requirements, these beans are firmer for longer bain marie stability, and have more beans per kg than the leading brand, ensuring the highest quality. In a delicious tomato sauce… and a Brakes best-seller!","1 x 2.62kg","186","Brakes","2.29"
"Brakes Cannellini Beans in Water","Ideal in salads or casseroles.","1 x 800g","1050","Brakes","2.29"
"Pan Asia Panasia Sweet Chilli Dipping Sauce 1L","Panasia Sweet Chilli Dipping Sauce 1L","1 x 1ltr","86972","Pan Asia","2.29"
"Brakes Vegan Mayo","","1  x 1ltr","126924","Brakes","2.29"
"Lyle's Golden Syrup Maple Flavour 454g","Maple natural flavouring blended with golden syrup – a partially inverted refiners syrup originating from a cane sugar syrup solution. It is a pale golden amber viscous syrup. It can be used in any recipe where maple syrup is required. Use in baking to add flavour and sweetness to cakes and biscuits or use as a pouring sauce for pancakes and waffles","1 x 454g","107022","Lyle's","2.29"
"Brakes Pear Halves in Light Syrup","Ready to eat or to use in recipes. A great time-saver!","1 x 822g","19524","Brakes","2.39"
"Brakes Peach Slices in Light Syrup","Ready to eat or to use in recipes. A great time-saver!","1 x 820g","21210","Brakes","2.39"
"Blue Dragon Sweet Chilli Dipping Sauce 750g","a rich blend of chillies and garlic","1 x 750g","470279","Blue Dragon","2.39"
"Brakes Borlotti Beans In Water","Great in Italian recipes.","1 x 800g","10787","Brakes","1.99"
"Brakes Mushy Processed Peas","Vibrant green processed peas containing no artificial colours. Ready to use, saving you time.","1 x 850g","28979","Brakes","1.99"
"Brakes Chopped Tomatoes in Tomato Juice","A Brakes best-seller!","1 x 2.5kg","6437","Brakes","2.09"
"Brakes Chopped Tomatoes in Tomato Juice","canned","1 x 800g","19839","Brakes","2.09"
"Brakes Peach Halves in Light Syrup","Ready to eat or to use in recipes. A great time-saver!","1 x 820g","21211","Brakes","2.09"
