Country,region,State,city,Country_Code
Netherlands,Europe,Bonaire,,
Netherlands,Europe,Drenthe,Bashkia Durrës,AL
Netherlands,Europe,Drenthe,Bashkia Krujë,AL
Netherlands,Europe,Drenthe,Bashkia Shijak,AL
Netherlands,Europe,Drenthe,Durrës,AL
Netherlands,Europe,Drenthe,Durrës District,AL
Netherlands,Europe,Drenthe,Fushë-Krujë,AL
Netherlands,Europe,Drenthe,Krujë,AL
Netherlands,Europe,Drenthe,Rrethi i Krujës,AL
Netherlands,Europe,Drenthe,Shijak,AL
Netherlands,Europe,Drenthe,Sukth,AL
Netherlands,Europe,Drenthe,Al Qubbah,LY
Netherlands,Europe,Drenthe,Darnah,LY
Netherlands,Europe,Drenthe,Drochia,MD
Netherlands,Europe,Drenthe,Aalden,NL
Netherlands,Europe,Drenthe,Angelslo,NL
Netherlands,Europe,Drenthe,Annen,NL
Netherlands,Europe,Drenthe,Assen,NL
Netherlands,Europe,Drenthe,Ballast,NL
Netherlands,Europe,Drenthe,Barger-Oosterveld,NL
Netherlands,Europe,Drenthe,Bargeres,NL
Netherlands,Europe,Drenthe,Beilen,NL
Netherlands,Europe,Drenthe,Borger,NL
Netherlands,Europe,Drenthe,Coevorden,NL
Netherlands,Europe,Drenthe,Dalen,NL
Netherlands,Europe,Drenthe,De Loo,NL
Netherlands,Europe,Drenthe,De Wijk,NL
Netherlands,Europe,Drenthe,Diever,NL
Netherlands,Europe,Drenthe,Dwingeloo,NL
Netherlands,Europe,Drenthe,Eelde,NL
Netherlands,Europe,Drenthe,Eext,NL
Netherlands,Europe,Drenthe,Emmen,NL
Netherlands,Europe,Drenthe,Emmer-Compascuum,NL
Netherlands,Europe,Drenthe,Emmer-Erfscheidenveen,NL
Netherlands,Europe,Drenthe,Emmerhout,NL
Netherlands,Europe,Drenthe,Emmermeer,NL
Netherlands,Europe,Drenthe,Emmerschans,NL
Netherlands,Europe,Drenthe,Exloo,NL
Netherlands,Europe,Drenthe,Gasselte,NL
