"countyName","service","first_date","second_date","third_date","address","phone","fax","email"
"Alba","Înregistrare dosar examinare ","2021-10-19 00:00:00","2021-10-21 00:00:00","2021-10-25 00:00:00","P-ta Iuliu Maniu nr. 14A, Alba Iulia","0258810235","0258810235","permise-inmatriculari-ab@mai.gov.ro"
"Alba","Transcriere vehicul (înmatriculat în România)","2021-10-13 00:00:00","2021-10-14 00:00:00","2021-10-15 00:00:00","P-ta Iuliu Maniu nr. 14A, Alba Iulia","0258810235","0258810235","permise-inmatriculari-ab@mai.gov.ro"
"Alba","Preschimbare permis românesc","2021-10-13 00:00:00","2021-10-14 00:00:00","2021-10-15 00:00:00","P-ta Iuliu Maniu nr. 14A, Alba Iulia","0258810235","0258810235","permise-inmatriculari-ab@mai.gov.ro"
"Alba","Înmatriculare vehicul (neînmatriculat în România)","2021-10-13 00:00:00","2021-10-14 00:00:00","2021-10-15 00:00:00","P-ta Iuliu Maniu nr. 14A, Alba Iulia","0258810235","0258810235","permise-inmatriculari-ab@mai.gov.ro"
"Alba","Autorizare provizorie (numere roșii)","2021-10-13 00:00:00","2021-10-14 00:00:00","2021-10-15 00:00:00","P-ta Iuliu Maniu nr. 14A, Alba Iulia","0258810235","0258810235","permise-inmatriculari-ab@mai.gov.ro"
"Alba","Radiere vehicul","2021-10-13 00:00:00","2021-10-14 00:00:00","2021-10-15 00:00:00","P-ta Iuliu Maniu nr. 14A, Alba Iulia","0258810235","0258810235","permise-inmatriculari-ab@mai.gov.ro"
"Alba","Duplicat permis românesc","2021-10-13 00:00:00","2021-10-14 00:00:00","2021-10-15 00:00:00","P-ta Iuliu Maniu nr. 14A, Alba Iulia","0258810235","0258810235","permise-inmatriculari-ab@mai.gov.ro"
"Alba","Duplicat certificat înmatriculare ","2021-10-13 00:00:00","2021-10-14 00:00:00","2021-10-15 00:00:00","P-ta Iuliu Maniu nr. 14A, Alba Iulia","0258810235","0258810235","permise-inmatriculari-ab@mai.gov.ro"
"Alba","Preschimbare permis străin","2021-10-15 00:00:00","2021-10-22 00:00:00","2021-10-29 00:00:00","P-ta Iuliu Maniu nr. 14A, Alba Iulia","0258810235","0258810235","permise-inmatriculari-ab@mai.gov.ro"
"Arges","Înregistrare dosar examinare ","2021-10-13 00:00:00","2021-10-25 00:00:00","2021-10-26 00:00:00","Pitești, Bd. Republicii, bloc E3C, jud.Argeș","0248217800","0248222348","spcrpciv.ipag@mai.gov.ro"
"Arges","Preschimbare permis românesc","2021-10-18 00:00:00","2021-10-19 00:00:00","2021-10-20 00:00:00","Pitești, Bd. Republicii, bloc E3C, jud.Argeș","0248217800","0248222348","spcrpciv.ipag@mai.gov.ro"
"Arges","Transcriere vehicul (înmatriculat în România)","2021-10-13 00:00:00","2021-10-14 00:00:00","2021-10-15 00:00:00","Pitești, Bd. Republicii, bloc E3C, jud.Argeș","0248217800","0248222348","spcrpciv.ipag@mai.gov.ro"
