"Company","2021 Franchise 500 Rank","Initial investment","Units as of 2021","Industry","Related Categories","Founded","Parent Company","Leadership","Ticker Symbol","Franchising Since","# of employees at HQ","# of Units","Social","Corporate Address","Initial Franchise Fee","Initial Investment","Net Worth Requirement","Cash Requirement","Royalty Fee","Ad Royalty Fee","Term of Agreement","Is franchise term renewable?","Third Party Financing","On-The-Job Training","Classroom Training","Additional Training","Ongoing Support","Marketing Support","Is absentee ownership allowed?","Can this franchise be run from home/mobile unit?","Can this franchise be run part time?","Are exclusive territories available?"
"Taco Bell","#1--Ranked #2 last year","$576K - $3.4M","7,567--9.6% over 3 years","Food","Mexican Food","1962","Yum! Brands Inc.","Mark King, CEO","YUM","1964  (57 years)","900","7,567 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","1 Glen Bell Wy.Irvine, CA 92618","$25,000 - $45,000","$575,600 - $3,370,100","$1,500,000","$750,000","5.5%","4.25%","25 years","No","Taco Bell has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","400 hours","8 hours","Additional training available","Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","No","No","No"
"Dunkin'","#2--Ranked #1 last year","$438K - $1.8M","12,800--1.0% over 3 years","Food","Coffee, Baked Goods, Doughnuts","1950","Inspire Brands","Paul Brown, CEO","","1955  (66 years)","1,104","12,800 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","130 Royall St.Canton, MA 02021","$40,000 - $90,000","$437,500 - $1,787,700","$250,000 - $500,000","$125,000 - $250,000","5.9%","5%","20 years","Yes","Dunkin' has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","165-255 hours","6-51 hours","","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","No","No","Yes"
"Popeyes Louisiana Kitchen","#4--Not ranked last year","$384K - $3.5M","3,575--19.4% over 3 years","Food","Chicken","1972","Restaurant Brands Int'l.","Jourdan Daleo, VP, Franchise & Business Development","QSR","1976  (45 years)","103","3,575 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","5707 Blue Lagoon Dr.Miami, FL 33126","$50,000","$383,500 - $3,545,800","$1,000,000","$500,000","5%","4%","20 years","Yes","Popeyes Louisiana Kitchen has relationships with third-party sources which offer financing to cover the following: startup costs, equipment, inventory, accounts receivable, payroll","120 hours","","","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","No","No","No"
"The UPS Store","#3--Ranked #5 last year","$185K - $474K","5,359--5.7% over 3 years","Services (Other)","Postal & Business Centers, Miscellaneous Retail Businesses, Shipping Services","1980","United Parcel Service","Michelle Van Slyke, Interim President & SVP of Marketing and Sales","UPS","1980  (41 years)","350","5,359 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","6060 Cornerstone Ct. W.San Diego, CA 92121","$29,950","$185,306 - $474,193","","$60,000 - $100,000","5%","2.5%","10 years","Yes","The UPS Store has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory","92 hours","77.5 hours","","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Marketing Planning & Support/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","Yes","No","No","No"
"Culver's","#5--Ranked #9 last year","$2.4M - $5.4M","808--21.1% over 3 years","Food","Frozen Custard, Ices, Hamburgers, Ice Cream, Miscellaneous Quick-Service Restaurants","1984","Culver Franchising","Rick Silva, CEO","","1988  (33 years)","148","808 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","1240 Water St.Prairie du Sac, WI 53578","$55,000","$2,398,000 - $5,432,000","","$350,000 - $600,000","4%","2.5%","15 years","Yes","Culver's has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","550 hours","172 hours","","Newsletter/Meetings & Conventions/Grand Opening/Online Support/Security & Safety Procedures/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","No","No","Yes"
"Jersey Mike's Subs","#7--Ranked #8 last year","$145K - $786K","1,973--37.9% over 3 years","Food","Submarine Sandwiches, Sandwiches","1956","Jersey Mike's Franchise Systems Inc.","Peter Cancro, Founder/CEO","","1987  (34 years)","200","1,973 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","2251 Landmark Pl.Manasquan, NJ 08736","$18,500","$144,668 - $786,233","$300,000","$100,000","6.5%","5%","10 years","Yes","Jersey Mike's Subs has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","400 hours","40 hours","","Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Site Selection/Proprietary Software","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","Yes","No","No","Yes"
"Kumon Math & Reading Centers","#6--Ranked #12 last year","$64K - $140K","26,365--1.9% over 3 years","Children's Businesses","Tutoring, Miscellaneous Children's Businesses","1954","","Mino Tanabe, CEO","","1958  (63 years)","390","26,365 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube","55 Challenger Rd., #300Ridgefield Park, NJ 07660","$2,000","$64,458 - $139,890","$150,000","$70,000","$34-$38/student/mo.","","5 years","Yes","","120 hours","227 hours","At regional offices","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","No","No","No"
"Planet Fitness","#8--Ranked #7 last year","$937K - $4.6M","","Personal-Care Businesses","Fitness , Miscellaneous Personal-Care Businesses, Miscellaneous Recreation Businesses","1992","","Chris Rondeau, CEO","PLNT","2003  (18 years)","229","2,059 (as of 2020)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","4 Liberty Ln. WestHampton, NH 03842","$20,000","$936,600 - $4,558,000","$3,000,000","$1,500,000","7%","9%","10 years","Yes","Planet Fitness has relationships with third-party sources which offer financing to cover the following: startup costs, equipment","20 hours","74 hours","At certified training club","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","No","No","Yes"
"7-Eleven","#9--Ranked #11 last year","$70K - $1.2M","77,346--16.8% over 3 years","Retail","Convenience Stores","1927","7-Eleven Inc.","Joseph DePinto, President & CEO","","1964  (57 years)","3,150","77,346 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram","P.O. Box 711Dallas, TX 75221-0711","$0 - $1,000,000","$69,650 - $1,233,900","","$50,000 - $250,000","Varies","1%","15 years","Yes","7-Eleven has relationships with third-party sources which offer financing to cover the following: equipment, payroll","240 hours","24 hours","At local training centers","Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","National Media/Regional Advertising/Marketing Planning & Support/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","No","No","Yes"
"Servpro","#10--Ranked #27 last year","$192K - $246K","1,930--14.4% over 3 years","Maintenance","Restoration Services, Carpet & Upholstery Services, Miscellaneous Home-Improvement Businesses, Miscellaneous Maintenance Businesses, Cleaning/Restoration","1967","Commodore Parent Holdings LLC","Richard Isaacson, CEO","","1969  (52 years)","456","1,930 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","801 Industrial Blvd.Gallatin, TN 37066","$70,000","$191,825 - $245,700","","$105,000 - $110,000","3-10%","3%","5 years","Yes","Servpro has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory","80.5 hours","130 hours","Business development program","Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Field Operations/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Marketing Planning & Support/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","No","No","No"
