"displayName","contactName","Phone","reviewRating","numReviews","location","city","state","zip"
"Swell Homes","Anthony Pillinger","0438 388 892","4.8","30","Perth, Western Australia","Perth","WA","6163"
"Turrell Building Pty Ltd","Turrell Building Pty Ltd","(02) 9653 1003","4.9","77","Galston, New South Wales","Galston","NSW","2159"
"First Avenue Homes","Anthony Karlovic","(03) 9596 8536","4.9","17","Brighton, Victoria","Brighton","VIC","3186"
"McGarry Constructions Pty Limited","George McGarry","0405 812 517","5.0","25","Rozelle, New South Wales","Rozelle","NSW","2034"
"Nulook Homes","Nulook Homes","(08) 9349 7003","5.0","25","Balcatta, Western Australia","Balcatta","WA","6021"
"Everlong Constructions","Justin Robertson","0404 787 014","5.0","15","Glen Iris, Victoria","Glen Iris","VIC","3146"
"Lindon Homes Pty Ltd","Ashley Lindon","(07) 3823 5522","4.9","14","Capalada, Queensland","Capalada","QLD","4157"
"Real Living Homes","Ryan Sullivan","0417 762 876","4.9","32","Maroochydore, Queensland","Maroochydore","QLD","4558"
"iBuild Group Pty Ltd","Alan Salameh","(02) 8880 7912","4.9","18","Castle Hill, New South Wales","Castle Hill","NSW","2154"
"Jamie Shaw Building","Jamie Shaw","0431 103 661","5.0","21","Nowra, New South Wales","Nowra","NSW","2541"
"Horizon Homes","Denis Carroll","(02) 8880 5110","5.0","20","Kellyville, New South Wales","Kellyville","NSW","2155"
"Adenbrook Homes","","1300 086 272","4.9","38","Brisbane, Queensland","Brisbane","QLD","4102"
"Baddock Building","Baddock Building","0424 081 060","5.0","33","Sydney, New South Wales","Sydney","NSW","2087"
"Trentwood Homes","Jarrod","(02) 6056 5166","5.0","24","Wodonga, Victoria","Wodonga","VIC","3690"
"Clinton Built Pty Ltd","Clinton Meagher","0477 977 117","5.0","17","Kirrawee, New South Wales","Kirrawee","NSW","2232"
"Mintconstruct Pty Ltd","Geoffrey Symons","1300 858 355","5.0","24","Merrimac, Queensland","Merrimac","QLD","4226"
"Granny Flats Sydney NSW Pty Ltd","Serge Panayi","1300 205 007","4.9","23","Picnic Point, New South Wales","Picnic Point","NSW","2213"
"Quality First Constructions","Tim Lee","(07) 3186 0248","5.0","18","YAROOMBA, Queensland","YAROOMBA","QLD","4573"
"Symcorp  Building Services","Chris Symons","(07) 3062 8568","4.7","14","Burleigh Heads, Queensland","Burleigh Heads","QLD","4220"
"Skookom","Ian Simondson","(03) 9071 0175","5.0","19","Hobart, Tasmania","Hobart","TAS","7000"
"Kube Constructions","Andrew Siracusa","(03) 6169 1564","5.0","10","Malvern East, Victoria","Malvern East","VIC","3145"
"BIC Construction Pty Ltd","Brad Chapman","(02) 8074 3567","4.9","17","Randwick, New South Wales","Randwick","NSW","2031"
