address1,city,zip,subDivision,state,beds,baths,full_baths,half_baths,price,lotSizeSqFt,sqft,yearBuilt,dateAdded,description
 Address Withheld,Edmonton,T5P 1P3,Canora,AB,5,2,2,-1,"$319,900",3699.98,979,1982,10/11/2021,"Canora Duplex with Basement Finished. Separate Entrance. Second Kitchen. Main Floor with 3 bedrooms, 1 Full Bath, Spacious Living Room & Kitchen with ample of cabinets. Basement with 2 more bedrooms, 1 Full bath, Laundry area, Living Room & Second Kitchen. Close to Schools, Transit & Shopping. Easy access to Stony Plain Road & Future LRT Station. Fully Renovated including New Roof, New Windows, New Kitchen, New Flooring & Fresh Paint. Great Property for First Time Buyer or an Investor. Act NOW>>>"
17104 7A Avenue,Edmonton,T6W 0M5,Windermere,AB,1,3,2,1,"$379,800",-1.0,1415,2009,10/11/2021,"Executive immaculate 2 Storey home! Over 1400 sq ft above ground with 3 bedrooms and 2.5 baths! high end material used to build this show home look house! open concept with tile decorated around the gas fireplace accented with windows on both side. Beautiful cabinetry and large island with an eating bar complements the kitchen. The dining area is open to the kitchen and living room with patio doors to the large pie lot. The floor is hardwood and ceramic tile floors plus upgraded carpet throughout! huge windows in the unfinished basement plus high efficiency furnace, oversized hot water tank and central vac! Great family home with a quiet cul de sac location and a massive pie lot! Professionally built maintenance free deck designed for a hot tub!"
6507 149 Avenue,Edmonton,T5A 1W1,Mcleod,AB,3,3,2,1,"$389,900",-1.0,1771,1968,10/11/2021,"Rare to find such a spacious bungalow. 3 bedrooms , 2/5 bathrooms. Master suite bathroom is brand new with stand up shower. Brand new kitchen from cabinetry to counter tops and all appliances. Gas line installed for the gas stove oven. Tons of features to offer. Best house and project for who that likes to put their own taste around the house and finish the renovations and upgrades."
268 Fraser Way,Edmonton,T5Y 0Y5,Fraser,AB,4,4,3,1,"$569,900",4030.0,2404,2014,10/11/2021,"Modern design 2 storey 2400 sq ft open concept and elegant home. Features 3 bedrooms, big bonus room, den/office, nook and 3.5 bathrooms. The stunning and spacious gourmet big kitchen offers a generous pantry, maple cabinets, modern backsplash, and a big island quartz countertop. The beautiful master bedroom includes: walk-in closet with extra shelving and 5 piece ensuite with twin sink vanity. Ample size 2 and 3 bedrooms both connected to a full bathroom. Upgrade quartz countertops in all bathrooms. Hardwood and ceramic flooring throughout the house. Fireplace, beautiful lighting fixtures with abundant of pot lights. This classy and very functional home can be an excellent solution for extended families as it has a SEPARATE ENTRANCE to FULLY FINISHED basement that has good size windows. 9' ceiling and offers plenty of space."
6059 Crawford Drive,Edmonton,T6W 4L6,Chappelle Area,AB,5,3,3,-1,"$719,000",-1.0,2750,2021,10/11/2021,welcome to this beautiful 2 story over 2750 sqft in beautiful community of Chappelle on a very big 32 pocket corner lot. This north facing fully upgraded house comes 5 bed and 3 full bath. open to below at front entrance with 20 feet high ceilings makes the house plan big and open. their is full bedroom and bathroom on main floor. whole main floor is covered with upgraded glossy porcelain tiles. 2nd floor comes with 3 bedrooms and common bath .
 Address Withheld,Edmonton,T6T 2L2,Laurel,AB,6,5,5,-1,"$899,900",7232.26,3050,2021,10/11/2021,"3050 SQFT BRAND NEW WALK OUT HOME IN LAUREL CROSSING backing a beautiful POND. A BEAUTIFUL HOME WITH A BEAUTIFUL VIEW, A RARE OPPORTUNITY !! 6 BEDROOMS, 4 ENSUITES, 2 LIVING AREAS, OPEN TO ABOVE FEATURE, 2 COVERED DECKS, MAIN KITCHEN, SPICE KITCHEN. Other upgrades includes STUCCO double front entry doors, Ceramic Tiles all over, LED chandeliers, QUARTZ throughout, high ceilings, glass railings inside out, feature walls, laundry upstairs, wall mount fireplace with 18' high brick wall, closet organizer shelving, premium backsplash, built in appliance cabinets, main floor bedroom & full bath, etc. BEST LOCATION ! 23 SCHOOLS within 10 mins driving distance - Svend hansen school (3 mins), crawford plains, TD baker, Daly Grove, Pollard Meadows, Sakaw, Meyokumin, Bisset, Weinlos, Kate Chegwin, Minchau, A. Blair McPherson, Velma E. Baker, Jackson Heights, Julia Kiniski, Hillview, Greenview, Ekota, Menisa, Dan Knott, J. Percy Page, Meyonohk & Kameyosek"
7417 112 Avenue,Edmonton,T5B 0E4,Virginia Park,AB,4,2,2,-1,"$329,900",3962.08,947,1952,10/11/2021,"Welcome to this lovely four bedroom raised bungalow with 2 bedrooms up and separate entrance to two bedroom in law suite in the basement. Situated across from Borden Park. 2 minutes to Concordia University of Edmonton and close to shopping,  LRT, River Valley, golf and so much more. This home has been really well cared for, and shows really well. Main floor has modern kitchen with granite countertops and lots of cupboard space. Good sized dining room and big living room facing the park. Two decent sized bedrooms and full bathroom completes the main floor. Downstairs has large widows giving lots of natural light and safe egress in both bedrooms and in the big living room and kitchen Another full bathroom. Laundry and utility room with two furnaces completes the lower level. The fully fenced, private back yard has lawn area, concrete patio and raised flower beds. A detached garage and extra parking out back is ideal for upstairs and downstairs living. Come check it out .. I think you'll like it!"
105 54514 Range Road 12,Rural Parkland County,T0E 1V2,None,AB,3,3,3,-1,"$769,900",-1.0,1688,2014,10/11/2021,"Not in a sub division!! Acreage located in the community of Tuscany Hills . Welcome to this 2014 built home,  just 15 minutes north of Stony Plain and 43Km to the Anthony Henday.  Bringing all the amenities of living in the city, almost 3 acres to call your own and a shop to satisfy all enthusiasts!  This home features 3 bedrooms and 2 bathrooms upstairs, finished bathroom and fully framed basement, Green sand well water treatment system, 3 stage no maintenance septic treatment with 2 fields, 50 ft tower for exceptional internet, Reverse Osmosis system for your drinking water, High end appliances and much much more.  The shop is built to last!! with a floor rated for 30K Lbs, a 10K lb hoist plus insulated and heated.  This property is move in and live ready!!  Only off the pavement for 4km, this is a great family home with over an acre yard fully landscaped and fenced.  Call today to see this Gem!! This new for this price doesn't come often!"
26 52421 Rge Rd 15,Rural Parkland County,T7Y 2E5,Spring Hills,AB,4,3,3,-1,"$600,000",-1.0,2797,1990,10/11/2021,"Tranquility and Peace is Achieved from the Tree lined Driveway, Welcoming Covered Verandah, and 8.62 Acres of Private Country Views. Huge 2 Storey with 2,800 sf Developed Space & 1,400 sf in Basement makes this Property Perfect for the Growing Family! MASTER Suite is Massive with Spa-Like 5PC Ensuite & Walk-In Closet. Also 3 more Generously sized Bedrms, Open Office Area & Main 5 PC Bath complete the Upstairs. Main Level Shows Formal Living Rm with Built-in Wall Unit Located off the Foyer. Open Concept Family Rm w/Fireplace and Access to Deck with Pergola. Huge Kitchen w/Ample Counter Space & Cabinets, also Relaxing Sunny Breakfast Nook! Separate Dining Rm w/Country Views for Entertaining. Convenient 3 Piece Bath w/ Laundry Room/Mud Room on Main Floor off the 28 'x 24' Over-sized Garage. The 30' x 24' Barn has Paddocks. Fenced areas for Horses. If You Need Peace and Quiet, Lots of Elbow Room,  and Convenient HWY Access, THIS IS IT!!! Enjoy Spring Hills Community! Spring Lake is just across Range Road 15."
5109 45A Ave,Vegreville,T9C 1L6,Vegreville,AB,5,2,2,-1,"$299,900",-1.0,1074,1974,10/11/2021,"This Bi-level has an extensive list of upgrades....exterior doors, vinyl pro windows-2020, stainless steel appliances, new kitchen cabinets-2018, fresh paint, hardwood& laminate flooring &carpet -2019, central vac, both bathrooms(one with jetted tub), lighting fixtures, new roof - shingles-eves in 2021 ,new AC-furnace 2020, new fenced in back yard (with RV parking)  and recent landscaping.  Fully finished basement with rec. room, bedrooms, and bathroom. All appliances included. Quick possession available. Detached garage with back lane entry. Situated on spacious lot on quiet street only 2 blocks from school, close to shopping, and rec. facilities. Located on the south side of Vegreville.  NOTHING TO DO BUT ENJOY A BEVERAGE UNDER YOUR COVERED SOUTH FACING PATIO!  OOO!!  (pet friendly with a cute little heated dog entrance in the back)"
4604 52 Street,Entwistle,T0E 0S0,Entwistle,AB,3,1,1,-1,"$38,900",-1.0,1056,1968,10/11/2021,"All For Only $38,900!  Located in Entwistle Close to Amenities is This 3 Bedroom Mobile Home on 2 Large Lots.  This Home Has a Bright Kitchen and Living Room, 3 Bedrooms, a Laundry Room, a Newer Bathroom, a Front and Back Deck, Some Newer Vinyl Siding, Vinyl Windows and a Metal Roof.  Situated Less Than an Hour From Edmonton, Less Than 1/2 Hour to Drayton Valley and Close to the Scenic Pembina River Park, the Location is Great Too!  If You Are Looking For an Affordable Investment, an Inexpensive Weekend Getaway or Just a Home That Doesn't Break the Bank, Here It Is!!"
5024 49 Street,Fort Kent,T0A 1H0,Fort Kent,AB,5,2,2,-1,"$219,900",-1.0,1008,1982,10/11/2021,"Family Friendly! This well-maintained bi-level is conveniently located on a large lot in a quiet neighborhood in the hamlet of Fort Kent. Main floor features a cozy front living room with woodstove.  Built-in fish tank offers a great feature and separates the main living space.  Bright kitchen with huge island/ dining table combination and patio door leads onto the 2 tiered deck. 5 Bedrooms and 2 Baths including a good sized master with cheater door to main bath.  Basement fully developed with rec room, laundry and plenty of storage.  Nicely landscaped, fenced yard with garden plot, relaxing patio with pergola and double detached garage. Backs onto park, ball diamonds and ice rink. Minutes from Bonnyville and with Cold Lake water. Start here!"
4105 43 Street,Bonnyville Town,T9N 1R6,Bonnyville,AB,5,3,2,1,"$279,900",8130.19,1259,1979,10/11/2021,"Comfortable family home located in a quiet neighborhood close to schools, parks and the Jessie lake walking trail. This 5 bedroom 3 bath has lots of space for the whole family! Nice bright spacious living room with hardwood floors and open to the dining space which wraps around to the kitchen, lots of cupboards and space to work on the peninsula. Three main floor bedrooms including a master with 2 piece ensuite and his and hers closets. On the lower level there are two more bedrooms & a full four piece bathroom, a nice big rec room for movie nights and still has enough space so you could have a work out area or play room for the kids. Just off the rear entrance there is a nice big deck for entertaining that over looks the big fenced backyard with fire pit. Lots of storage for toys, vehicles or trailers with additional parking space at the rear of the property, big shed for yard equipment, and double detached garage! This home has lots to offer and would make a great starter home for any growing family!"
8331 156 Avenue,Edmonton,T5Z 2R5,Belle Rive,AB,3,2,1,1,"$229,900",3337.89,1001,1986,10/11/2021,Best priced single family home - 4 level split in Belle Rive. Very well maintained home with a nice size family room which opens to the kitchen and dining area. Head upstairs and enjoy the spacious Master bedroom and the 2nd bedroom is also a great size. The third level is completely finished with a 2nd family room w/ a 3rd bathroom w/ a 2pc bathroom. The 4th level is awaiting your finishing touches.  There's room to build a double garage.
15 Donnely Place,Sherwood Park,T8H 2B3,Davidson Creek,AB,4,3,3,-1,"$460,000",5984.73,1200,2001,10/11/2021,"Beautifully updated home situated on a pie-lot, located in a quiet cul-de-sac in the desirable Davidson Creek neighbourhood. This bi-level home has 4 spacious bedrooms, 3 full bathrooms including a 3 pc. ensuite in the master. The main floor has 1200 SqFt of living space, updated floors, black out blinds and vaulted ceilings over the living room & kitchen for an open feel. The eat-in kitchen is fully updated with granite countertops, stainless appliances and a large pantry. Step out on to the massive deck to discover a fully fenced, completely private, landscaped and low maintenance backyard. The completely renovated lower level (1181 SqFt of additional living space) has a huge Rec Room plus a 4th bedroom, large office space, flex space, storage room, bathroom and laundry. The home also has a double oversized attached garage with built-ins and rough-ins for heating. This home is within walking distance to schools, with easy access to nearby shopping centers and the Yellowhead/Anthony Henday Hwy."
5909 50 Street,Wabamun,T0E 2K0,Wabamun,AB,4,3,3,-1,"$675,000",42623.97,1490,2011,10/11/2021,"A place for everything, and everything in its place at this immaculately-maintained  bungalow, with over 2,788 sq ft of luxury living, situated on a private forested acre, just a short walk from the lake. From the warmth of the living room's wood-stove, to the spacious dining room with direct access to the massive wrap-around party-deck, comfort & quality are key. Beyond the massive front office space (can be converted to 2 bedrooms), the cabinet-rich kitchen and 4pc main bathroom, awaits the primary retreat, with den, & walk-through closet to the 4pc ensuite blessed with a jetted-tub. The walkout basement delivers high ceilings of a massive rec room/bar area, with sunken family room, which leads out to the covered patio with hot tub! Two more massive bedrooms, 3pc bathroom and storage space are extremely accommodating. Out back you will find the gargantuan 50'x32' dream shop doubling as a double car garage with 2pc bathroom, and ANOTHER 783 sq ft home, ideal for extended family or as a rental income!!"
 Address Withheld,Edmonton,T5W 3J3,Newton,AB,4,2,2,-1,"$263,500",4703.82,767,1955,10/11/2021,Excellent opportunity for a first time home buyer or investors! This four bedroom home is located on a huge lot. Plenty of options to upgrade this home or for investors / developers looking for infill property. Newer Hot Water tank and Furnace. Single detached garage. Close to public transportation and shopping. Located on a beautiful tree lined street and only 15 minutes to downtown.
5 Meadowview Landing,Spruce Grove,T7X 0N8,Mclaughlin_Spgr,AB,3,3,2,1,"$460,000",4703.82,2085,2013,10/11/2021,"Gorgeous home situated in the heart of Spruce Grove. A family friendly neighbourhood close to schools, parks, the community rec centre and more! South facing two storey with 3 bedrooms and 2.5 baths, complete with A/C, gas fireplace, a den on the main floor PLUS a bonus room on the upper level. You're immediately greeted by a bright and neutral decor with lots of windows and natural light flooding through. This airy layout features a massive kitchen with an oversized island, s/s appliances and spacious dining room fit for a team. Upstairs you'll find beautiful french doors leading to a large master bedroom. The paneling to the ensuite gives a sophisticated taste and a nice separation to a 5 pc bath, a private water closet and walk in closet. Two additional bedrooms, another full bath and a wide open hallway completes this home. Backyard is the perfect size and backs onto an alley, with the potential to add a gate for addtl storage. Amazing opportunity to plant your roots in a fantastic community!"
5820 166 Avenue,Edmonton,T5Y 0B4,Hollick-Kenyon,AB,3,3,2,1,"$350,000",3936.68,1218,2006,10/11/2021,"WELCOME HOME to this charming 2-Storey in Family Friendly Hollick-Kenyon!  The main floor is designed to maximize space and features an OPEN-CONCEPT floor plan.  The bright kitchen has a corner pantry and an eat-up bar island which opens the Dining area that has lovely patio doors leading to your HUGE MAINTENANCE-FREE DECK   perfect for entertaining or watching the kids play in the backyard!  A cozy Livingroom, Laundry and 2-pc Bath finish off the Main Floor.  Upstairs are 3 good-sized Bedrooms, a 4-pc Ensuite and another 4-pc Bathroom.  The Basement is unspoiled and ready for your imagination.  New Shingles!  Garden boxes and large shed for the gardeners out there!  Located in a quiet cul-de-sac   this property has great access to the Henday, schools, shopping, and all amenities!  A perfect starter home or investment property for savvy investors. COME TAKE A LOOK!"
3609 11 Street,Edmonton,T6T 0E9,Tamarack,AB,4,3,2,1,"$359,900",5705.3,1524,2007,10/11/2021,"GORGEOUS 4 BEDROOM HOME IN TAMARACK!  As you enter, you are greeted with a grand entryway thats flows into the OPEN CONCEPT LIVING AREA with plenty of natural light and draped in hardwood flooring. Chef inspired kitchen with beautiful oversized eat-at island that the family can gather around. This kitchen offers loads of cabinets and countertop space, stainless steel appliances, corner pantry and gas stove. Off the living space your patio doors open to your backyard oasis with outdoor deck,  firepit area, landscaped yard with numerous trees and retaining wall. Upstairs you'll find the master retreat featuring ensuite with shower, and walk in closet. Three more generous sized bedrooms, main bath and laundry room complete this level. The basement is partially finished with many featured possibilities. CENTRAL AIR CONDITIONING. Oversized single attached garage. AMAZING LOCATION close to schools, shopping, public transportation and easy access to anywhere in the city in 30 min"
 Address Withheld,Ardrossan,T8E 0A6,Ardrossan Ii,AB,4,3,3,-1,"$525,000",4402.44,1270,2018,10/11/2021,"Built to perfection in 2018 by Cona Homes, this almost new, fully finished, 1456 sqft 4 bedroom raised bungalow in Ardrossan is ready for you. From the minute you set foot onto the quality vinyl plank floors the large entrance foyer the tall ceiling throughout beckon you to take a tour. On your left access to the 21x23 oversized garage, complete with floor drain. Passed the 3 piece bath & main floor laundry passed the 2nd bedroom you reach the owners suite, featuring an ensuite with large shower & soaker tub, dual sinks and walk in closet for all your clothes. The quartz counters, & stainless appliances in the bright kitchen give you the perfect space for culinary creations while talking with your family sitting in the living room, enjoying a fire. The big windows in the finished basement give the 2 bedrooms, and large family room a main floor feel, With a fenced landscaped yard, excellent schools, new REC centre, dog park & more, and only 10 minutes to Sherwood Park, it's time to call Ardrossan home!"
4348 114 Street,Edmonton,T6J 1N1,Royal Gardens (Edmonton),AB,5,2,2,-1,"$399,900",6097.75,1001,1965,10/11/2021,"This home has a lot to offer. Starting with, Prime Location in desirable Royal Gardens. Great location not only because is it facing a park but you have two high schools and two elementary schools in easy walking distance so think how much time that will save you each day when children can simply walk to school. Southgate shopping centre and the LRT are also conveniently close by too. Large lot (50ft by 122ft) & the front yard has good grade making the house slightly elevated plus the rear yard is decent sized with ground level deck so its like a patio & an oversized double garage with large driveway so there is ample parking. Inside, this home offers you 3 bedrooms up plus another 2 in the basement. Some renovations already done such as newer flooring and new bathroom on the main and the home is in good condition so not much to do. Laundry is in the right place if you wanted to develop a legal suite. The super large room currently used for storage would be ideal place for second kitchen."
11431 112 Avenue,Edmonton,T5G 0H5,Prince Rupert,AB,3,2,2,-1,"$384,000",5875.15,893,1952,10/11/2021,"Professionally and beautifully remodeled home from TOP to BOTTOM in a mature central neighborhood of Prince Rupert.  Great curb appeal with new cedar steps, painted stucco and directly across from a park.  Nearly everything is new in this home including shingles, doors, windows, plumbing stack, appliances and more.  Both kitchen & bathrooms are completely renovated with all the work in the home being done by experienced and certified tradesmen (no Do-it-Yourselfer YouTube renovations here).   All this and you are a 10 minute walk from Kingsway Mall and minutes drive from the down town core.  This is the nicest home in the area period and the value is just going to go up as the city center airport development happens.  Raise a family here or buy as a rental.  This is a great property in a great location."
9606 82 Avenue,Morinville,T8R 1W3,South Glens,AB,3,4,2,2,"$398,900",-1.0,1798,2005,10/10/2021,"NOW AVAILABLE... ELEGANT 2 STOREY IN SOUTH GLENS. Open concept main floor featuring; den just off the foyer, a large living room w/tile surround gas fireplace & built in shelving, spacious kitchen designed w/the perfect amount of maple cabinets & counterspace including a breakfast bar, high-end S.S appliances; countertop gas stove, built in wall oven & warmer & fridge w/built in soda maker, plus a walk-thru pantry/laundry room combo. Enjoy the nice sized dining area w/garden doors for access to the backyard. The upper level offers a generously sized bonus room w/a lovely arched entrance way, king sized master bdrm w/walk-in closet & 4 pc ensuite (Jacuzzi tub & separate shower), plus 2 perfectly sized JR. bdms & 4pc main bath w/Jacuzzi tub. Basement is 95% completed w/ bdrm, family room, bath and flex area.  BONUS - high-efficiency tankless HWT & furnace. The backyard is private oasis offering a serene setting w/a deck, stone patio, mature trees & shrubs, built in flowerbeds. Shows 10/10!"
