"Name","rarity","tier","gearScore","type","itemType","description"
"Ancient Fishing Pole","Epic","5","600","item","weapon","2-Handed. Gathers fish from open water and fishing hotspots."
"Angry Earth Fishing Pole","Epic","5","600","item","weapon","2-Handed. Gathers fish from open water and fishing hotspots."
"Corrupted Fishing Pole","Epic","5","600","item","weapon","2-Handed. Gathers fish from open water and fishing hotspots."
"Lost Fishing Pole","Epic","5","600","item","weapon","2-Handed. Gathers fish from open water and fishing hotspots."
"Coral Lash","Rare","4","600","item","weapon","""When faced wtih a shortage of steel, the Siren's crew had to get creative."""
"Isabella's Chosen","Rare","5","600","item","weapon","""I hope you find what you are looking for."""
"Whisper of the Wood","Epic","5","600","item","weapon","""Be as the wind flowing through the wyrdwood grove."""
"Dark Sky","Epic","5","600","item","weapon","""When they came, they brought with them an eternal darkness. We never saw the light again."""
"Musket of Unseen Power","Epic","5","600","item","weapon","""I did not see where the shot came from, only the aftermath."""
"Warpwood","Epic","5","600","item","weapon","""The wood is unlike anything you've seen before, twisted by some wild magic."""
"Axe of the Abyss","Epic","5","600","item","weapon","""Many souls are lost as they try to harness the power of Corruption. To do so is to lose oneself."""
"Meteor Trail","Epic","5","600","item","weapon","""The fiery trail of a meteor is pure. It is powerful."""
"Gortan's Tainted Staff","Uncommon","5","600","item","weapon","""Corruption has recently set in on the staff as its former master succumbed just days ago."""
"Shield of Suppresion","Epic","5","600","item","weapon","""Tis impressive how opressive the suppresion is!"""
"Gilded Defense","Epic","5","600","item","weapon","""A shield so beautiful it's a shame it's purpose is to become scratched and battered."""
"Yul'kithir","Epic","5","600","item","weapon","""Demonic transcriptions cover the handle of the warhammer."""
"Voidbringer's Rapier","Epic","5","600","item","weapon","""Let darkness into your heart and see the light."""
"Soulforged Spear","Epic","5","600","item","weapon","""How many countless souls were stolen by this weapon and damned to a torment worse than death?"""
"Crystalline Curse","Epic","5","600","item","weapon","""After she uttered the incantation, her lover turned to the clearest crystal anyone had seen."""
"Voidbent Helm","Epic","5","600","item","armor","""Voidbent metal feels more durable and well made"""
"Voidbent Breastplate","Epic","5","600","item","armor","""Voidbent metal feels more durable and well made"""
"Voidbent Gauntlets","Epic","5","600","item","armor","""Voidbent metal feels more durable and well made"""
"Voidbent Legguards","Epic","5","600","item","armor","""Voidbent metal feels more durable and well made"""
"Voidbent Sabatons","Epic","5","600","item","armor","""Voidbent metal feels more durable and well made"""
"Voidbent Hat","Epic","5","600","item","armor","""Voidbent metal feels more durable and well made"""
"Voidbent Coat","Epic","5","600","item","armor","""Voidbent metal feels more durable and well made"""
"Voidbent Grips","Epic","5","600","item","armor","""Voidbent metal feels more durable and well made"""
"Voidbent Leggings","Epic","5","600","item","armor","""Voidbent metal feels more durable and well made"""
"Voidbent Boots","Epic","5","600","item","armor","""Voidbent metal feels more durable and well made"""
"Voidbent Wraps","Epic","5","600","item","armor","""Voidbent metal feels more durable and well made"""
"Voidbent Robes","Epic","5","600","item","armor","""Voidbent metal feels more durable and well made"""
"Voidbent Gloves","Epic","5","600","item","armor","""Voidbent metal feels more durable and well made"""
"Voidbent Pants","Epic","5","600","item","armor","""Voidbent metal feels more durable and well made"""
"Voidbent Shoes","Epic","5","600","item","armor","""Voidbent metal feels more durable and well made"""
