rank,restaurant_name,emailaddress,phone_number,address,zipcode,website,yellowpages_rating,yellowpages_review_count,tripadvisor_rating,tripadvisor_review_count,cuisine1,cuisine2,cuisine3,cuisine
1,St. Mary of the Immaculate Conception School,feedback@stmaryavon.com,(440) 934-6246,"2680 Stoney Ridge Rd,Avon,OH",44011,,5,12,,,Catholic Churches,Churches & Places of Worship,Religious Organizations,"Catholic Churches,Churches & Places of Worship,Religious Organizations"
2,Agathos | Non-Denominational Christian Church,info@agathos.org,(614) 298-8211,"43 W 4th Ave,Columbus,OH",43201,http://www.agathos.org,5,7,,,Bible Churches,Charismatic Churches,Christian Churches,"Bible Churches,Charismatic Churches,Christian Churches,Churches & Places of Worship,Non-Denominational Churches"
3,Mary King C World Renowned Psychic Reader,,(216) 287-7984,"5634 Turney Rd,Cleveland,OH",44125,http://www.angelfire.com/stars3/soulmate/maryking.html,5,4,,,Churches & Places of Worship,Astrologers,Psychics & Mediums,"Churches & Places of Worship,Astrologers,Psychics & Mediums,Spiritual Consultants,Spiritualists"
4,Shiloh Baptist Church,lprice@devrycols.edu,(614) 253-7946,"720 Mount Vernon Ave,Columbus,OH",43203,,5,3,,,Baptist Churches,Churches & Places of Worship,General Baptist Churches,"Baptist Churches,Churches & Places of Worship,General Baptist Churches"
5,Advent Episcopal Church,,(440) 871-6685,"3760 Dover Center Rd,Westlake,OH",44145,http://www.adventwestlake.org,5,3,,,Episcopal Churches,Churches & Places of Worship,,"Episcopal Churches,Churches & Places of Worship"
6,Full Gospel Outreach,joshandshelly@fullgospeloutreach.com,(513) 422-6136,"6898 Middletown Germantown Rd,Middletown,OH",45042,,5,3,,,Pentecostal Churches,Churches & Places of Worship,Independent Pentecostal Churches,"Pentecostal Churches,Churches & Places of Worship,Independent Pentecostal Churches,Interdenominational Churches,Religious Organizations,Various Denomination Churches"
7,First United Methodist Church Of Cuyahoga Falls,info@firstchurchcf.com,(330) 923-5241,"245 Portage Trl,Cuyahoga Falls,OH",44221,http://www.firstchurchcf.com,5,3,,,United Methodist Churches,Churches & Places of Worship,Methodist Churches,"United Methodist Churches,Churches & Places of Worship,Methodist Churches,Preschools & Kindergarten,Schools"
8,Trinity Lutheran Church,,(614) 224-6818,"404 S 3rd St,Columbus,OH",43215,http://www.oldtrinity.com,5,3,,,Lutheran Churches,Churches & Places of Worship,,"Lutheran Churches,Churches & Places of Worship"
9,West 58th St Church of God,,(216) 281-2958,"3150 W 58th St,Cleveland,OH",44102,http://www.w58cog.net,5,3,,,Church of God,Churches & Places of Worship,Pentecostal Churches,"Church of God,Churches & Places of Worship,Pentecostal Churches"
10,Core Community Church,,(419) 342-6004,"111 E Whitney Ave,Shelby,OH",44875,http://www.corecommunitychurch.com,5,3,,,Evangelical Covenant Churches,Churches & Places of Worship,Religious Organizations,"Evangelical Covenant Churches,Churches & Places of Worship,Religious Organizations"
