"rank","restaurant_name","emailaddress","zipcode","website","cuisine1","cuisine2","cuisine3","cuisine","phone_number","address","yellowpages_rating","yellowpages_review_count","tripadvisor_rating","tripadvisor_review_count"
"91. ","Senior Independence","","43920","","Hospices","Home Health Services","Nurses","Hospices,Home Health Services,Nurses","(330) 368-0194","16813 Saint Clair Ave Ste 401,East Liverpool,OH","","","",""
"92. ","Embassy Healthcare","","44146","http://www.embassyhealthcare.net","Hospices","Assisted Living & Elder Care Services","Nursing & Convalescent Homes","Hospices,Assisted Living & Elder Care Services,Nursing & Convalescent Homes","(440) 439-7976","24613 Broadway Ave,Bedford,OH","","","",""
"93. ","Visiting Nurse Association (VNA)","","44601","http://www.achosp.org/services-treatments/alliance-visiting-nurse-association","Hospices","Home Health Services","Nurses","Hospices,Home Health Services,Nurses","(330) 596-6400","885 S Sawburg Ave,Alliance,OH","","","",""
"94. ","Hospice Of Carroll County","","44615","http://hospicepiedmont.org","Hospices","Home Health Services","","Hospices,Home Health Services","(330) 627-4796","1040 Trump Rd NW Ste B,Carrollton,OH","","","",""
"95. ","Rural Health Clinic - Jackson","","45640","http://holzer.org","Hospices","","","Hospices","(740) 395-8393","500 Burlington Rd,Jackson,OH","","","",""
"96. ","Hospice Of Ashtabula County","","44004","http://www.hospicewr.org","Hospices","Home Health Services","","Hospices,Home Health Services","(440) 997-6619","1166 Lake Ave,Ashtabula,OH","","","",""
"97. ","Hospice of the Western Reserve","","44035","https://www.hospicewr.org","Hospices","","","Hospices","(440) 284-0299",",Elyria,OH","","","",""
"98. ","Appalachian Community Visiting Nurse Assoc Hospice","","45701","","Hospices","Home Health Services","Nurses","Hospices,Home Health Services,Nurses","(740) 594-8226","280 E State St,Athens,OH","","","",""
"99. ","Hospice of the Valley","","44408","http://hospiceofthevalley.com","Hospices","Home Health Services","Nurses","Hospices,Home Health Services,Nurses,Social Service Organizations","(330) 482-2014","1120 Village Plz,Columbiana,OH","","","",""
"100. ","Heartland Home Care","","44805","http://www.heartlandhospice.com","Hospices","Eldercare-Home Health Services","Home Health Services","Hospices,Eldercare-Home Health Services,Home Health Services,Nurses,Nursing Homes-Skilled Nursing Facility","(419) 289-1920","1763 State Route 60,Ashland,OH","","","",""
"101. ","Hospice of the Western Reserve","","44055","http://www.hospicewr.org","Hospices","Home Health Services","","Hospices,Home Health Services","(440) 787-2080","2173 N Ridge Rd E Ste H,Lorain,OH","","","",""
"102. ","Hmc Barberton Hospice & Palliative Care","","44203","http://www.hospiceofmedina.org/hmc-barberton-hospice-and-palliative-care","Hospices","","","Hospices","(330) 861-0400","527 W Tuscarawas Ave,Barberton,OH","","","",""
"103. ","Compassionate Care Hospice, an Amedisys Company","","44333","https://www.amedisys.com/locations/hospice-care-akron-oh","Hospices","Physicians & Surgeons","","Hospices,Physicians & Surgeons","(330) 666-5242","300 N Cleveland Massillon Rd,Akron,OH","","","",""
"104. ","Palliative Therapeutics","","43952","","Hospices","","","Hospices","(740) 264-7968","200 Stanton Blvd,Steubenville,OH","","","",""
"105. ","Heartland Home Care","","44805","http://www.heartlandhospice.com","Hospices","Eldercare-Home Health Services","Home Health Services","Hospices,Eldercare-Home Health Services,Home Health Services,Nurses,Nursing Homes-Skilled Nursing Facility","(419) 289-1920","110 Cottage St Ste 8,Ashland,OH","","","",""
"106. ","Vitas","","44122","http://vitas.com","Hospices","","","Hospices","(216) 378-7656","2000 Auburn Dr,Beachwood,OH","","","",""
"107. ","Southwest General Health Center","","44130","http://swgeneral.com","Hospices","","","Hospices","(440) 816-5000","Hospice Services,Cleveland,OH","","","",""
"108. ","Valley Hospice Inc","","43952","http://www.valleyhospice.org","Hospices","Home Health Services","","Hospices,Home Health Services","(877) 467-7423","4000 Johnson Rd,Steubenville,OH","","","",""
"109. ","Continuum Care Hospice","","44130","","Hospices","","","Hospices","(216) 898-8444","12380 Plaza Dr,Cleveland,OH","","","",""
