"rank","restaurant_name","emailaddress","zipcode","website","cuisine1","cuisine2","cuisine3","cuisine","phone_number","address","yellowpages_rating","yellowpages_review_count","tripadvisor_rating","tripadvisor_review_count"
"61. ","Heartland Lansing","","43912","http://hcr-manorcare.com","Residential Care Facilities","Assisted Living Facilities","Nursing & Convalescent Homes","Residential Care Facilities,Assisted Living Facilities,Nursing & Convalescent Homes,Nursing Homes-Skilled Nursing Facility","(740) 635-4600","68222 Commercial Dr,Bridgeport,OH","5","1","",""
"62. ","Oakleaf Village","","43623","http://wallickcos.com","Assisted Living Facilities","Elderly Homes","Nursing & Convalescent Homes","Assisted Living Facilities,Elderly Homes,Nursing & Convalescent Homes,Retirement Communities","(419) 885-3934","4220 N Holland Sylvania Rd,Toledo,OH","5","1","",""
"63. ","Carriage Court of Lancaster","","43130","http://www.seniorlifestyle.com/property/carriage-court-lancaster/#about","Residential Care Facilities","Assisted Living & Elder Care Services","Assisted Living Facilities","Residential Care Facilities,Assisted Living & Elder Care Services,Assisted Living Facilities,Retirement Communities","(740) 654-4422","800 Becks Knob Rd,Lancaster,OH","5","1","",""
"64. ","Starkey Place Assisted Living","","44077","http://starkeyplace.com","Assisted Living & Elder Care Services","Assisted Living Facilities","Nursing & Convalescent Homes","Assisted Living & Elder Care Services,Assisted Living Facilities,Nursing & Convalescent Homes","(440) 350-1314","270 Mentor Ave,Painesville,OH","5","1","",""
"65. ","Greenfield Estates","","44333","https://www.jeaseniorliving.com/senior-living/oh/akron/greenfield-estates-alzheimers-special-care-center","Elderly Homes","Assisted Living & Elder Care Services","Assisted Living Facilities","Elderly Homes,Assisted Living & Elder Care Services,Assisted Living Facilities,Mental Health Services,Nursing & Convalescent Homes","(330) 664-1650","3522 Commercial Dr,Fairlawn,OH","5","1","",""
"66. ","Huntington Woods","","44145","http://www.huntington-woods.net","Assisted Living Facilities","Assisted Living & Elder Care Services","Nursing & Convalescent Homes","Assisted Living Facilities,Assisted Living & Elder Care Services,Nursing & Convalescent Homes,Nursing Homes-Intermediate Care Facility,Residential Care Facilities","(440) 835-5661","27705 Westchester Pkwy,Westlake,OH","5","1","",""
"67. ","Canal Winchester Rehabilitation Center Skilled Nursing & Assisted Living","","43110","http://www.macintoshcompany.com","Nursing Homes-Skilled Nursing Facility","Assisted Living Facilities","Physical Therapy Clinics","Nursing Homes-Skilled Nursing Facility,Assisted Living Facilities,Physical Therapy Clinics,Rehabilitation Services,Senior Citizens Services & Organizations","(614) 834-8682","6800 Gender Rd,Canal Winchester,OH","5","1","",""
"68. ","Convalarium In Dublin","","43016","http://www.theconvalarium.com","Nursing & Convalescent Homes","Assisted Living Facilities","Nursing Homes-Skilled Nursing Facility","Nursing & Convalescent Homes,Assisted Living Facilities,Nursing Homes-Skilled Nursing Facility,Physical Therapists,Physical Therapy Clinics,Rehabilitation Services,Residential Care Facilities","(614) 761-1188","6430 Post Rd,Dublin,OH","5","1","",""
"69. ","Residence At Salem Woods","","45230","","Nursing Homes-Skilled Nursing Facility","Homes-Institutional & Aged","","Nursing Homes-Skilled Nursing Facility,Homes-Institutional & Aged","(513) 231-8292","6164 Salem Rd,Cincinnati,OH","5","1","",""
"70. ","Brookdale Senior Living","","44333","http://www.brookdale.com","Assisted Living Facilities","Nursing Homes-Skilled Nursing Facility","","Assisted Living Facilities,Nursing Homes-Skilled Nursing Facility","(330) 668-4100","101 N Cleveland Massillon Rd,Akron,OH","5","1","",""
"71. ","Align Home Health","","45432","http://www.alignhomehealth.com","Assisted Living & Elder Care Services","Eldercare-Home Health Services","Home Health Services","Assisted Living & Elder Care Services,Eldercare-Home Health Services,Home Health Services,Nurses-Home Services,Senior Citizens Services & Organizations","(937) 490-9200","1905 Woods Dr., Suite 14,Dayton,OH","","","",""
"72. ","Caring Senior Service","","45429","http://dayton.caringseniorservice.com","Home Health Services","Assisted Living & Elder Care Services","Eldercare-Home Health Services","Home Health Services,Assisted Living & Elder Care Services,Eldercare-Home Health Services,Home Health Care Equipment & Supplies,Hospices,Nurses-Home Services,Residential Care Facilities,Senior Citizens Services & Organizations,Social Service Organizations","(937) 886-4284","3809 Wilmington Pike,Dayton,OH","5","1","",""
"73. ","Home Instead Senior Care","","44070","http://www.homeinstead.com/257","Home Health Services","Alzheimer's Care & Services","Assisted Living & Elder Care Services","Home Health Services,Alzheimer's Care & Services,Assisted Living & Elder Care Services,Eldercare-Home Health Services,Senior Citizens Services & Organizations","(440) 734-7441","26777 Lorain Rd Ste 406,North Olmsted,OH","5","1","",""
"74. ","Great Lakes Caring Home Health & Hospice","","44070","http://www.greatlakescaring.com","Home Health Services","Assisted Living & Elder Care Services","Eldercare-Home Health Services","Home Health Services,Assisted Living & Elder Care Services,Eldercare-Home Health Services,Hospices,Medical Service Organizations,Nurses-Home Services,Nursing & Convalescent Homes","(888) 260-9835",",,OH","","","",""
"75. ","Loving Family Home Care","","43615","http://lovingfamilyhomecare.com","Home Health Services","Assisted Living & Elder Care Services","Eldercare-Home Health Services","Home Health Services,Assisted Living & Elder Care Services,Eldercare-Home Health Services,Elderly Homes,Nurses,Physical Therapists,Senior Citizens Services & Organizations","(888) 469-2178","2600 N Reynolds Rd Ste 101A,Toledo,OH","5","1","",""
"76. ","Ohioans Home Healthcare Inc.","","43614","http://ohioanshhc.com","Home Health Services","Assisted Living & Elder Care Services","Physical Therapists","Home Health Services,Assisted Living & Elder Care Services,Physical Therapists,Senior Citizens Services & Organizations","(419) 843-4422","5640 Southwyck Blvd Ste 2,Toledo,OH","5","1","",""
"77. ","Arbors At Gallipolis","","45631","http://arborsatgallipolis.com","Home Health Services","Medical Assistants & Technicians","Nurses","Home Health Services,Medical Assistants & Technicians,Nurses,Nursing Homes-Skilled Nursing Facility,Rehabilitation Services,Senior Citizens Services & Organizations","(740) 446-7112","170 Pinecrest Dr,Gallipolis,OH","5","1","",""
"78. ","Home Helpers Home Care of Barberton","","44203","http://www.homehelpershomecare.com/barberton/home","Home Health Services","Assisted Living & Elder Care Services","Assisted Living Facilities","Home Health Services,Assisted Living & Elder Care Services,Assisted Living Facilities,Eldercare-Home Health Services,Independent Living Services For The Disabled","(330) 745-9295",",Barberton,OH","5","1","",""
"79. ","Close To Home Ii","","45044","","Assisted Living Facilities","Assisted Living & Elder Care Services","Residential Care Facilities","Assisted Living Facilities,Assisted Living & Elder Care Services,Residential Care Facilities","(513) 423-0111","3712 Roosevelt Blvd,Middletown,OH","5","1","",""
"80. ","Woodside Village Care Center","","43338","http://www.atriumlivingcenters.com","Residential Care Facilities","Assisted Living Facilities","Nursing & Convalescent Homes","Residential Care Facilities,Assisted Living Facilities,Nursing & Convalescent Homes","(419) 947-2015","841 W Marion Rd,Mount Gilead,OH","5","1","",""
"81. ","Lexington Court Care Center","","44904","http://www.atriumlivingcenters.com","Residential Care Facilities","Assisted Living Facilities","Nursing & Convalescent Homes","Residential Care Facilities,Assisted Living Facilities,Nursing & Convalescent Homes","(419) 884-2000","250 Delaware Ave,Mansfield,OH","5","1","",""
"82. ","Country Pointe","","44691","http://www.jaghealthcare.com/country-pointe","Nursing Homes-Intermediate Care Facility","Assisted Living Facilities","Nursing & Convalescent Homes","Nursing Homes-Intermediate Care Facility,Assisted Living Facilities,Nursing & Convalescent Homes,Residential Care Facilities","(330) 264-7881","3071 N Elyria Rd,Wooster,OH","5","1","",""
"83. ","Amber Park Montessori Day Care Cntr","","45236","http://brookdaleliving.com","Assisted Living Facilities","Nursing & Convalescent Homes","","Assisted Living Facilities,Nursing & Convalescent Homes","(513) 745-7600","3801 E Galbraith Rd,Cincinnati,OH","5","1","",""
"84. ","Center Ridge Nursing Home","","44039","http://www.crhc-oh.net","Nursing & Convalescent Homes","Assisted Living Facilities","Medical Clinics","Nursing & Convalescent Homes,Assisted Living Facilities,Medical Clinics,Physical Therapists,Rehabilitation Services,Residential Care Facilities","(440) 327-1295","38600 Center Ridge Rd,North Ridgeville,OH","5","1","",""
"85. ","Arbors At Toledo","","43608","","Residential Care Facilities","Assisted Living Facilities","Nursing & Convalescent Homes","Residential Care Facilities,Assisted Living Facilities,Nursing & Convalescent Homes","(419) 242-6514","2920 Cherry St,Toledo,OH","5","1","",""
"86. ","Kingston Healthcare Co","","43560","http://kingstonhealthcare.com","Residential Care Facilities","Assisted Living Facilities","Home Health Services","Residential Care Facilities,Assisted Living Facilities,Home Health Services,Nursing & Convalescent Homes","(419) 571-8200","4121 King Rd,Sylvania,OH","5","1","",""
"87. ","Sem Retirement Communities","","45150","http://www.semcommunities.org","Nursing & Convalescent Homes","Assisted Living Facilities","Rehabilitation Services","Nursing & Convalescent Homes,Assisted Living Facilities,Rehabilitation Services,Residential Care Facilities","(513) 248-1270","225 Cleveland Ave,Milford,OH","5","1","",""
"88. ","Meridian Community Care","","44509","","Retirement Communities","","","Retirement Communities","(330) 259-3989","1192 N Meridian Rd,Youngstown,OH","5","1","",""
"89. ","Briarfield at Ashley Circle","","44515","http://www.briarfield.net","Nursing Homes-Skilled Nursing Facility","","","Nursing Homes-Skilled Nursing Facility","(330) 793-3010","5291 Ashley Cir,Youngstown,OH","5","1","",""
"90. ","Pearlview Rehab & Wellness Center","","44212","http://www.pearlviewcarecenter.com","Retirement Apartments & Hotels","","","Retirement Apartments & Hotels","(330) 225-9121","4426 Homestead Dr,Brunswick,OH","5","1","",""
"31. ","Right at Home","","43560","http://www.rightathome.net","Eldercare-Home Health Services","Assisted Living & Elder Care Services","Home Health Services","Eldercare-Home Health Services,Assisted Living & Elder Care Services,Home Health Services","(419) 882-1111","5800 Monroe St Ste 201,Sylvania,OH","5","2","",""
"32. ","Light Of Hearts Villa","","44146","http://www.lightofheartsvilla.org","Elderly Homes","Assisted Living Facilities","Residential Care Facilities","Elderly Homes,Assisted Living Facilities,Residential Care Facilities","(440) 232-1782","283 Union St,Bedford,OH","5","2","",""
"33. ","The Briarwood","","44224","http://www.thebriarwood.com","Retirement Communities","Assisted Living & Elder Care Services","Assisted Living Facilities","Retirement Communities,Assisted Living & Elder Care Services,Assisted Living Facilities,Elderly Homes,Nursing & Convalescent Homes,Nursing Homes-Skilled Nursing Facility,Residential Care Facilities,Rest Homes,Retirement Apartments & Hotels,Senior Citizens Services & Organizations","(330) 688-1828","3700 Englewood Dr,Stow,OH","5","1","",""
"34. ","West View Manor Nursing Facility","","44691","http://www.westviewmanor.org","Retirement Communities","Assisted Living & Elder Care Services","Assisted Living Facilities","Retirement Communities,Assisted Living & Elder Care Services,Assisted Living Facilities,Nursing & Convalescent Homes","(330) 264-8640","1715 Mechanicsburg Rd,Wooster,OH","5","1","",""
"35. ","My New Villa","","44691","http://www.mynewvilla.com","Assisted Living & Elder Care Services","Alzheimer's Care & Services","Assisted Living Facilities","Assisted Living & Elder Care Services,Alzheimer's Care & Services,Assisted Living Facilities,Nursing & Convalescent Homes,Retirement & Life Care Communities & Homes-Information Bureaus,Retirement Communities","(440) 320-7280",",,OH","5","1","",""
"36. ","Willow Brook Christian Home","","43235","https://www.willow-brook.org","Nursing & Convalescent Homes","Assisted Living & Elder Care Services","Assisted Living Facilities","Nursing & Convalescent Homes,Assisted Living & Elder Care Services,Assisted Living Facilities,Homes-Institutional & Aged,Nursing Homes-Skilled Nursing Facility,Personal Care Homes,Rehabilitation Services,Residential Care Facilities,Rest Homes,Retirement Communities","(614) 885-3300","55 Lazelle Rd,Columbus,OH","5","1","",""
"37. ","Lancia Villa Royale Nursing","","43953","http://www.lancianursinghomes.com","Assisted Living & Elder Care Services","Assisted Living Facilities","Nursing & Convalescent Homes","Assisted Living & Elder Care Services,Assisted Living Facilities,Nursing & Convalescent Homes,Nursing Homes-Skilled Nursing Facility","(740) 264-8901","1852 Sinclair Ave,Steubenville,OH","5","1","",""
"38. ","Arden Courts of Bath","","44333","http://arden-courts.com/Akron","Alzheimer's Care & Services","Assisted Living & Elder Care Services","Assisted Living Facilities","Alzheimer's Care & Services,Assisted Living & Elder Care Services,Assisted Living Facilities,Homes-Institutional & Aged,Nursing & Convalescent Homes,Nursing Homes-Skilled Nursing Facility,Retirement & Life Care Communities & Homes-Information Bureaus,Retirement Communities","(330) 668-6889","171 N Cleveland Massillon Rd,Akron,OH","5","1","",""
"39. ","Oakleaf Village","","43229","http://www.oakleafvillage.com","Assisted Living & Elder Care Services","Assisted Living Facilities","Nursing & Convalescent Homes","Assisted Living & Elder Care Services,Assisted Living Facilities,Nursing & Convalescent Homes,Nursing Homes-Intermediate Care Facility,Residential Care Facilities,Rest Homes,Retirement Communities,Senior Citizens Services & Organizations","(614) 431-1739","5500 Karl Rd,Columbus,OH","5","1","",""
"40. ","Hubbard Rd Meadows Assisted Living","","44057","","Assisted Living Facilities","Assisted Living & Elder Care Services","Elderly Homes","Assisted Living Facilities,Assisted Living & Elder Care Services,Elderly Homes,Homes-Institutional & Aged,Nursing & Convalescent Homes,Nursing Homes-Intermediate Care Facility,Nursing Homes-Skilled Nursing Facility,Residential Care Facilities,Senior Citizens Services & Organizations","(440) 428-8090","2358 Hubbard Rd,Madison,OH","5","1","",""
"41. ","Glendale Place","","45215","http://www.glendaleplace.com","Retirement Communities","Assisted Living & Elder Care Services","Assisted Living Facilities","Retirement Communities,Assisted Living & Elder Care Services,Assisted Living Facilities,Nursing & Convalescent Homes,Residential Care Facilities,Retirement Apartments & Hotels","(513) 771-1779","779 Glendale Milford Rd,Cincinnati,OH","5","1","",""
"42. ","Browning Masonic Community","","43566","https://ohiomasonichome.org","Retirement Communities","Alzheimer's Care & Services","Assisted Living & Elder Care Services","Retirement Communities,Alzheimer's Care & Services,Assisted Living & Elder Care Services,Assisted Living Facilities,Elderly Homes,Retirement Apartments & Hotels,Senior Citizens Services & Organizations","(419) 878-4055","8883 Browning Dr,Waterville,OH","5","1","",""
