"Company","Primary focus","Location","Founded","Website","Business model","Protein category","Ingredients","Technology focus"
"Codrico Rotterdam B.V.","Food and beverages","Netherlands","","codrico.com","Ingredients & inputs","Plant-based","Cereals, Pulses","Ingredient optimization"
"Sunprotein","Dietary supplements and substitutes, Food and beverages","Russia","2019","sunflowerprotein.com","End-consumer brands & products, Ingredients & inputs","Plant-based","",""
"Biospringer   AM Corporation","Food and beverages","France","1872","biospringer.com","Ingredients & inputs","Fermentation","Yeast","Ingredient optimization"
"Rubisco","Food and beverages","Netherlands","2019","rubiscofoods.com","Ingredients & inputs","Plant-based","Duckweed, Lemna","Ingredient optimization"
"Schouten Food","Food and beverages","Netherlands","2002","schoutenfood.com","Contract manufacturing, End-consumer brands & products, Ingredients & inputs","Plant-based","Cereals, Nuts, Oilseeds, Other seeds, Pea, Pulses, Soy, Wheat",""
"Aquible","Food and beverages","United States","","aquible.com","Ingredients & inputs","Plant-based","Lemna","Ingredient optimization"
"Adgreen","Food and beverages","Thailand","","advancedgreenfarm.com","Ingredients & inputs","Plant-based","Lemna","Ingredient optimization"
"Ajinomoto Co., Inc.","Food and beverages","Japan","1908","ajinomoto.com","Ingredients & inputs","Plant-based","Lemna","Ingredient optimization"
"QOA","Food and beverages","Germany","2021","qoacompany.com","End-consumer brands & products","Fermentation","","Precision fermentation"
"Float Foods","Food and beverages","Singapore","2020","floatfoods.com","End-consumer brands & products","Plant-based","legumes",""
"Driessen Food Extrusion","Food and beverages","Netherlands","1932","dfe.nl","Contract manufacturing","Plant-based","","Extrusion"
"Twente Foods","Food and beverages","Netherlands","","twentefoods.com","End-consumer brands & products","Fermentation","",""
"IPSS Engineering","Food and beverages","Netherlands","2009","ipss.nl","Contract manufacturing","Fermentation","","Bioprocess design"
"NIZO","Food and beverages","Netherlands","1948","nizo.com","Contract manufacturing","Fermentation, Plant-based","",""
"Bio Base Europe Pilot Plant","Food and beverages","Belgium","","bbeu.org","Contract manufacturing","Fermentation","","Bioprocess design"
"Cascadia Seaweed Corp.","Animal feed and pet food, Food and beverages","Canada","2019","cascadiaseaweed.com","End-consumer brands & products","Cultivated, Plant-based","Seaweed",""
"Cosun","Food and beverages","Netherlands","1900","cosun.com","Contract manufacturing","Plant-based","",""
"Bioprocess Pilot Facility","Food and beverages","Netherlands","2012","bpf.eu","Contract manufacturing","Fermentation","","Bioprocess design"
"Cosun","Food and beverages","Netherlands","1900","cosun.com","Contract manufacturing","Plant-based","",""
"SPX Flow","Food and beverages","United States","2015","spxflow.com","Contract manufacturing","Plant-based","",""
"Food Pilot","Food and beverages","Belgium","","foodpilot.be","Contract manufacturing","Plant-based","",""
"Zyrcular Foods","Food and beverages","Spain","2019","zyrcularfoods.com","Contract manufacturing","Plant-based","","Bioprocess design"
"DIL e.V.","Food and beverages","Germany","1983","dil-ev.de","Contract manufacturing","Plant-based","",""
"Impact Food","Food and beverages","United States","2021","eatimpactfood.com","End-consumer brands & products","Plant-based","","Ingredient optimization"
"Geneusbiotech","Food and beverages","Netherlands","1997","geneusbiotech.com","End-consumer brands & products","Cultivated","",""
"Hargol FoodTech","Dietary supplements and substitutes, Food and beverages, Other","Israel","2016","hargol.com","Ingredients & inputs","Fermentation","Other","Crop development, Ingredient optimization"
"GrainAnalyser","Other","India","2020","grainanalyser.com","Contract manufacturing","Cultivated","","Crop development"
"Planteam","Food and beverages","Israel","2020","planteam.tech","End-consumer brands & products","Plant-based","","Extrusion"
"Plantsquad","Food and beverages","Mexico","2018","plantsquad.com.mx","End-consumer brands & products","Plant-based","Beans, Pea, Wheat",""
"Magic Valley","Food and beverages","Australia","2020","magicvalley.com.au","End-consumer brands & products","Cultivated","","Cell line development"
"Foodanza, Inc.","Food and beverages","Switzerland","2021","foodanza.ch","Contract manufacturing, Infrastructure & equipment","Cultivated, Fermentation, Plant-based","",""
"SARDA BIO POLYMERS","Animal feed and pet food, Dietary supplements and substitutes, Food and beverages, Infant nutrition, Other","India","1968","sardabiopolymers.com","Ingredients & inputs","Plant-based","Hemp, Other, Texturized Vegetable Protein","Bioprocess design, Feedstocks, High moisture extrusion, Ingredient optimization, Low moisture extrusion"
"Orbillion","Food and beverages, Other","United States","2019","orbillion.com","End-consumer brands & products, Ingredients & inputs","Cultivated","","3D printing, Bioprocess design, Cell line development, Scaffolding and structure"
"The Green Dairy","Food and beverages","Sweden","2006","thegreendairy.com","Contract manufacturing","Plant-based","Coconut, Oat, Soy",""
"Trattoria Alfredo","Food and beverages","Turkey","","instagram.com","End-consumer brands & products","Plant-based","",""
"Completeorganics GmbH","Food and beverages","Germany","2017","completeorganics.de","End-consumer brands & products","Fermentation","Beets, Cabbage, Carrots",""
"Trofeas","Food and beverages","Greece","","vegan.trofeas.gr","End-consumer brands & products","Plant-based","",""
"La
  Ferme Biologique","Food and beverages","France","","fermedubio.com","End-consumer brands & products","Plant-based","Lentils",""
"Trattoria Alfredo","Food and beverages","Turkey","","instagram.com","End-consumer brands & products","Plant-based","",""
"Plantible foods","Food and beverages","United States","","plantiblefoods.com","End-consumer brands & products, Ingredients & inputs","Plant-based","Lemna","Crop development, Ingredient optimization"
"microTERRA","Animal feed and pet food","Mexico","2018","microterra.com.mx","End-consumer brands & products","Plant-based","Algae, Lemna, Microalgae",""
"Parabel","Animal feed and pet food, Dietary supplements and substitutes, Food and beverages, Other","United States","2013","parabel.com","Ingredients & inputs","Plant-based","Lemna, Lentils, Pulses","Ingredient optimization"
"Hinoman","Dietary supplements and substitutes, Food and beverages","Israel","2010","hinoman.com","Ingredients & inputs","Plant-based","Lemna, Mankai","Ingredient optimization"
