itemId,model,title,price,rating,brandName,itemUrl
24395857,W1A80A#BGJ,"HP LaserJet Pro M479fdw Wireless Color Laser Multifunction Printer with Duplexing, Onsite Warranty (W1A80A)",$649.00,4.5,HP,https://www.staples.com/hp-laserjet-pro-m479fdw-wireless-color-laser-multifunction-printer-with-duplexing-w1a80a/product_24395857
2256786,T0F29A#B1H,"HP OfficeJet Pro 6978 Color Inkjet All-In-One Printer, HP Instant Ink Ready (T0F29A)",$179.99,4.5,HP,https://www.staples.com/HP-OfficeJet-Pro-6978-All-in-One-Inkjet-Printer/product_2256786
2764646,MFCL2710DW,Brother MFC-L2710DW Monochrome All-In-One Laser Printer,$219.99,4.5,Brother,https://www.staples.com/brother-mfc-l2710dw-compact-monochrome-laser-all-in-one-printer-with-duplex-printing-and-wireless-networking/product_2764646
24394014,2RY54A#B1H,"HP Tango Smart Home Wireless Color Printer, Instant Ink Ready (2RY54A)",$159.99,4.0,HP,https://www.staples.com/hp-tango-smart-home-wireless-all-in-one-color-printer/product_24394014
24455373,1G5L3A#B1H,HP OfficeJet Pro 9015e Wireless Color All-in-One Printer with bonus 6 free months Instant Ink with HP+ (1G5L3A),$249.99,4.0,HP,https://www.staples.com/hp-officejet-pro-9015e-wireless-color-all-in-one-printer-w-6-months-free-ink-1g5l3a/product_24455373
24342683,MFC-L3770CDW,"Brother MFC-L3770CDW Color Laser Printer All-in-One with Wireless, Duplex and Scanning",$429.99,4.5,Brother,https://www.staples.com/brother-mfc-l3770cdw-color-all-in-one-laser-printer-with-wireless-duplex-printing-and-scanning/product_24342683
2424949,G5J38A#B1H,HP OfficeJet Pro 7740 Color Inkjet All-In-One Printer (G5J38A),$299.99,4.0,HP,https://www.staples.com/HP-OfficeJet-Pro-7740-Inkjet-Printer/product_2424949
24395404,W1A30A#BGJ,HP LaserJet Pro M428fdw Wireless Monochrome Laser Multifunction Printer with Duplexing (W1A30A),$499.00,4.5,HP,https://www.staples.com/hp-laserjet-pro-m428fdw-wireless-monochrome-laser-multifunction-printer-with-duplexing-w1a30a/product_24395404
2093160,D3Q20A#B1H,HP PageWide Pro 477dw Color All-In-One Business Printer with Wireless & Duplex Printing (D3Q20A),$699.89,4.5,HP,https://www.staples.com/HP-PageWide-Pro-477dw-Multifunction-Inkjet-Printer/product_2093160
24455371,1K7K3A#B1H,HP OfficeJet Pro 8025e Wireless Color All-in-One Printer with bonus 6 free months Instant Ink with HP+ (1K7K3A),$189.99,4.0,HP,https://www.staples.com/hp-officejet-pro-8025e-wireless-color-all-in-one-printer-w-6-months-free-ink-1k7k3a/product_24455371
