"Name","url","telephone","website","region"
"North Auckland Water Delivery","https://yellow.co.nz/y/north-auckland-water-robert?src=Other&c=396","021 0626514","https://www.northaucklandwaterdelivery.co.nz","4 Robert Might Road Kumeu Auckland 0810"
"3 Dimensional Builders Ltd","https://yellow.co.nz/y/3-dimensional-builders?src=Other&c=396","09 4225292","http://www.3dbuilders.co.nz","Servicing: Auckland Region"
"Kemp Construction Limited","https://yellow.co.nz/y/kemp-construction-te?src=Other&c=396","027 4915271","https://kempconstruction.co.nz","Servicing: Auckland City, Hibiscus Coast, Manukau City, North Shore, West Auckland"
"Andels Construction Co Ltd","https://yellow.co.nz/y/andels-construction-co?src=Other&c=396","09 8274897","https://www.renovationsauckland.co.nz","Servicing: Auckland City, Hibiscus Coast, Manukau City, North Shore, West Auckland"
"G.J. Gardner Homes","https://yellow.co.nz/y/gj-gardner-rosedale?src=Other&c=396","09 4152488","http://www.gjgardner.co.nz","Servicing: Auckland Region, Canterbury Region"
"The Matakana Carpentry Co","https://yellow.co.nz/y/matakana-carpentry-co?src=Other&c=396","021 08512024","http://www.matakanacarpentry.co.nz","Servicing: Auckland Region"
"Pzazz Building Auckland","https://yellow.co.nz/y/pzazz-building-auckland-central-6?src=Other&c=396","0800 792992","http://www.grangeoutdoor.co.nz","Servicing: Auckland Region"
"Test Business 2112111","https://yellow.co.nz/y/test-business-2112111?src=Other&c=396","022 3602592","https://google.com","Servicing: Whanganui Region, Canterbury Region, Bay Of Plenty, Timaru Oamaru Region, Marlborough Region, Northland, Nelson Region, Taranaki, Auckland Region, Waikato Region, Otago, Gisborne Region, Wellington Region, Wairarapa, Manawatu Region, Hawkes Bay, Southland Region, West Coast"
"thaomochht","https://yellow.co.nz/y/thaomochht?src=Other&c=396","0800 2340345","https://hahuytoai.com","Servicing: Auckland Region, Bay Of Plenty, Canterbury Region, Gisborne Region, Hawkes Bay, Manawatu Region, Marlborough Region, Nelson Region, Northland, Otago, Southland Region, Taranaki, Timaru Oamaru Region, Waikato Region, Wairarapa, Wellington Region, West Coast, Whanganui Region"
"Designer Homes","https://yellow.co.nz/y/designer-homes-hornby-edmonton?src=Other&c=396","03 2222344","https://www.designerhomes.kiwi.nz","Servicing: Canterbury Region, Auckland Region, Waikato Region, Wellington Region, Otago, Bay Of Plenty, Taranaki"
"LinkTrans Ltd HIAB services","https://yellow.co.nz/y/linktrans-ltd-ponsonby?src=Other&c=396","027 4718773","https://www.linktrans.co.nz","Servicing: Mangawhai Area, Helensville Area, Auckland City, Manukau City, North Shore, West Auckland, Warkworth Area"
"Marlite NZ Ltd","https://yellow.co.nz/y/marlite-nz-henderson-henderson-1?src=Other&c=396","09 8382077","http://www.marlitenz.co.nz","Servicing: Whanganui Region, Canterbury Region, Bay Of Plenty, Timaru Oamaru Region, Marlborough Region, Northland, Nelson Region, Taranaki, Auckland Region, Waikato Region, Otago, Gisborne Region, Wellington Region, Wairarapa, Manawatu Region, Hawkes Bay, Southland Region, West Coast"
"Andrew Shone Builder","https://yellow.co.nz/y/andrew-shone-builder-kumeu?src=Other&c=396","09 4126213","","Servicing this area"
